timestamp,logger,event_type,mode,cycle,team,latency_ms,duration_sec,status,latency_values,teams,message
2026-03-27 15:48:36.419,tcp_client,latency_step_start,shuffle,1,A,20,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=A | latency_ms=20 | duration_sec=300.0
2026-03-27 15:53:36.538,tcp_client,latency_step_end,shuffle,1,A,20,,interrupted,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=A | latency_ms=20 | status=interrupted
2026-03-27 15:57:13.551,tcp_client,latency_step_start,shuffle,1,A,20,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=A | latency_ms=20 | duration_sec=300.0
2026-03-27 16:02:13.862,tcp_client,latency_step_end,shuffle,1,A,20,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=A | latency_ms=20 | status=completed
2026-03-27 16:02:14.201,tcp_client,latency_step_start,shuffle,1,B,20,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=B | latency_ms=20 | duration_sec=300.0
2026-03-27 16:07:14.269,tcp_client,latency_step_end,shuffle,1,B,20,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=B | latency_ms=20 | status=completed
2026-03-27 16:07:14.287,tcp_client,latency_step_start,shuffle,1,A,40,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=A | latency_ms=40 | duration_sec=300.0
2026-03-27 16:12:14.352,tcp_client,latency_step_end,shuffle,1,A,40,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=A | latency_ms=40 | status=completed
2026-03-27 16:12:14.441,tcp_client,latency_step_start,shuffle,1,B,40,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=B | latency_ms=40 | duration_sec=300.0
2026-03-27 16:17:14.459,tcp_client,latency_step_end,shuffle,1,B,40,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=B | latency_ms=40 | status=completed
2026-03-27 16:17:14.487,tcp_client,latency_step_start,shuffle,1,A,60,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=A | latency_ms=60 | duration_sec=300.0
2026-03-27 16:22:14.562,tcp_client,latency_step_end,shuffle,1,A,60,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=A | latency_ms=60 | status=completed
2026-03-27 16:22:14.806,tcp_client,latency_step_start,shuffle,1,B,60,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=B | latency_ms=60 | duration_sec=300.0
2026-03-27 16:27:14.822,tcp_client,latency_step_end,shuffle,1,B,60,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=B | latency_ms=60 | status=completed
2026-03-27 16:27:14.848,tcp_client,latency_step_start,shuffle,1,A,80,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=A | latency_ms=80 | duration_sec=300.0
2026-03-27 16:31:14.814,tcp_client,latency_step_end,shuffle,1,A,80,,interrupted,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=A | latency_ms=80 | status=interrupted
