timestamp,logger,event_type,mode,cycle,team,latency_ms,duration_sec,status,latency_values,teams,message
2026-04-07 14:53:39.106,tcp_client,latency_step_start,shuffle,1,A,20,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=A | latency_ms=20 | duration_sec=300.0
2026-04-07 14:58:39.231,tcp_client,latency_step_end,shuffle,1,A,20,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=A | latency_ms=20 | status=completed
2026-04-07 14:58:39.269,tcp_client,latency_step_start,shuffle,1,B,20,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=B | latency_ms=20 | duration_sec=300.0
2026-04-07 15:03:39.426,tcp_client,latency_step_end,shuffle,1,B,20,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=B | latency_ms=20 | status=completed
2026-04-07 15:03:39.448,tcp_client,latency_step_start,shuffle,1,A,40,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=A | latency_ms=40 | duration_sec=300.0
2026-04-07 15:08:39.470,tcp_client,latency_step_end,shuffle,1,A,40,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=A | latency_ms=40 | status=completed
2026-04-07 15:08:39.510,tcp_client,latency_step_start,shuffle,1,B,40,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=B | latency_ms=40 | duration_sec=300.0
2026-04-07 15:13:39.540,tcp_client,latency_step_end,shuffle,1,B,40,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=B | latency_ms=40 | status=completed
2026-04-07 15:13:39.560,tcp_client,latency_step_start,shuffle,1,A,60,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=A | latency_ms=60 | duration_sec=300.0
2026-04-07 15:18:39.585,tcp_client,latency_step_end,shuffle,1,A,60,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=A | latency_ms=60 | status=completed
2026-04-07 15:18:39.660,tcp_client,latency_step_start,shuffle,1,B,60,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=B | latency_ms=60 | duration_sec=300.0
2026-04-07 15:23:39.706,tcp_client,latency_step_end,shuffle,1,B,60,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=B | latency_ms=60 | status=completed
2026-04-07 15:23:39.751,tcp_client,latency_step_start,shuffle,1,A,80,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=A | latency_ms=80 | duration_sec=300.0
2026-04-07 15:27:37.096,tcp_client,latency_step_end,shuffle,1,A,80,,interrupted,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=A | latency_ms=80 | status=interrupted
