timestamp,event_wallclock,event,actor,actor_team,actor_latency_ms,actor_steamid,actor_steam_name,actor_ip,actor_is_bot,target,target_team,target_latency_ms,target_steamid,target_steam_name,target_ip,target_is_bot,source,value,unit,hp_before,hp_after
00:17:08.766,2026-04-07 15:10:47.847,hit,sniper,RADIANT,,,,,,creep_badguys_melee,DIRE,40,,,,,dota_unknown,83,damage,,
00:17:08.766,2026-04-07 15:10:47.847,kill,sniper,RADIANT,,,,,,creep_badguys_melee,DIRE,40,,,,,,,,,
00:17:09.133,2026-04-07 15:10:48.214,hit,bounty_hunter,RADIANT,,,,,,neutral_gnoll_assassin,,,,,,,dota_unknown,133,damage,236,103
00:17:09.500,2026-04-07 15:10:48.581,hit,sniper,RADIANT,,,,,,creep_badguys_melee,DIRE,40,,,,,item_maelstrom,106,damage,281,175
00:17:09.500,2026-04-07 15:10:48.581,hit,sniper,RADIANT,,,,,,creep_badguys_melee,DIRE,40,,,,,dota_unknown,163,damage,175,12
00:17:09.766,2026-04-07 15:10:48.847,hit,sniper,RADIANT,,,,,,creep_badguys_flagbearer,DIRE,40,,,,,item_maelstrom,64,damage,394,330
00:17:09.833,2026-04-07 15:10:48.914,kill,creep_goodguys_melee,RADIANT,,,,,,creep_badguys_melee,DIRE,40,,,,,,,,,
00:17:10.000,2026-04-07 15:10:49.081,hit,sniper,RADIANT,,,,,,creep_badguys_ranged,DIRE,40,,,,,item_maelstrom,63,damage,,
00:17:10.000,2026-04-07 15:10:49.081,kill,sniper,RADIANT,,,,,,creep_badguys_ranged,DIRE,40,,,,,,,,,
00:17:10.066,2026-04-07 15:10:49.147,hit,neutral_gnoll_assassin,,,,,,,bounty_hunter,RADIANT,,,,,,dota_unknown,9,damage,793,784
00:17:10.200,2026-04-07 15:10:49.281,hit,bounty_hunter,RADIANT,,,,,,neutral_gnoll_assassin,,,,,,,dota_unknown,67,damage,103,36
00:17:10.233,2026-04-07 15:10:49.314,hit,sniper,RADIANT,,,,,,creep_badguys_flagbearer,DIRE,40,,,,,dota_unknown,119,damage,331,212
00:17:11.000,2026-04-07 15:10:50.081,hit,sniper,RADIANT,,,,,,creep_badguys_flagbearer,DIRE,40,,,,,dota_unknown,109,damage,,
00:17:11.000,2026-04-07 15:10:50.081,kill,sniper,RADIANT,,,,,,creep_badguys_flagbearer,DIRE,40,,,,,,,,,
00:17:11.233,2026-04-07 15:10:50.314,hit,bounty_hunter,RADIANT,,,,,,neutral_gnoll_assassin,,,,,,,dota_unknown,37,damage,,
00:17:11.233,2026-04-07 15:10:50.314,kill,bounty_hunter,RADIANT,,,,,,neutral_gnoll_assassin,,,,,,,,,,,
00:17:11.566,2026-04-07 15:10:50.647,hit,neutral_gnoll_assassin,,,,,,,bounty_hunter,RADIANT,,,,,,dota_unknown,9,damage,785,776
00:17:12.333,2026-04-07 15:10:51.414,hit,bounty_hunter,RADIANT,,,,,,neutral_gnoll_assassin,,,,,,,dota_unknown,70,damage,430,360
00:17:13.333,2026-04-07 15:10:52.414,hit,bounty_hunter,RADIANT,,,,,,neutral_gnoll_assassin,,,,,,,dota_unknown,67,damage,361,294
00:17:14.033,2026-04-07 15:10:53.114,kill,creep_badguys_melee,DIRE,40,,,,,creep_goodguys_melee,RADIANT,,,,,,,,,,
00:17:14.066,2026-04-07 15:10:53.147,kill,creep_goodguys_ranged,RADIANT,,,,,,creep_badguys_melee,DIRE,40,,,,,,,,,
00:17:14.400,2026-04-07 15:10:53.481,hit,bounty_hunter,RADIANT,,,,,,neutral_gnoll_assassin,,,,,,,dota_unknown,71,damage,295,224
00:17:15.066,2026-04-07 15:10:54.147,kill,creep_badguys_ranged,DIRE,40,,,,,creep_goodguys_melee,RADIANT,,,,,,,,,,
00:17:15.300,2026-04-07 15:10:54.381,hit,creep_goodguys_melee,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,8,damage,2500,2492
00:17:15.300,2026-04-07 15:10:54.381,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,36,damage,2492,2456
00:17:15.466,2026-04-07 15:10:54.547,hit,bounty_hunter,RADIANT,,,,,,neutral_gnoll_assassin,,,,,,,dota_unknown,67,damage,224,157
00:17:15.933,2026-04-07 15:10:55.014,hit,creep_goodguys_melee,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,9,damage,2456,2447
00:17:16.000,2026-04-07 15:10:55.081,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,2447,2442
00:17:16.033,2026-04-07 15:10:55.114,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,35,damage,2442,2407
00:17:16.033,2026-04-07 15:10:55.114,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,2407,2402
00:17:16.200,2026-04-07 15:10:55.281,hit,neutral_gnoll_assassin,,,,,,,bounty_hunter,RADIANT,,,,,,dota_unknown,9,damage,781,772
00:17:16.300,2026-04-07 15:10:55.381,hit,creep_goodguys_melee,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,8,damage,2402,2394
00:17:16.333,2026-04-07 15:10:55.414,hit,creep_goodguys_melee,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,9,damage,2394,2385
00:17:16.366,2026-04-07 15:10:55.447,kill,badguys_tower2_top,DIRE,40,,,,,creep_goodguys_melee,RADIANT,,,,,,,,,,
00:17:16.500,2026-04-07 15:10:55.581,hit,bounty_hunter,RADIANT,,,,,,neutral_gnoll_assassin,,,,,,,dota_unknown,68,damage,158,90
00:17:16.533,2026-04-07 15:10:55.614,kill,creep_badguys_ranged,DIRE,40,,,,,creep_goodguys_melee,RADIANT,,,,,,,,,,
00:17:16.766,2026-04-07 15:10:55.847,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,37,damage,2385,2348
00:17:16.933,2026-04-07 15:10:56.014,hit,creep_goodguys_melee,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,8,damage,2348,2340
00:17:17.000,2026-04-07 15:10:56.081,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,2340,2335
00:17:17.033,2026-04-07 15:10:56.114,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,2335,2330
