timestamp,event_wallclock,event,actor,actor_team,actor_latency_ms,actor_steamid,actor_steam_name,actor_ip,actor_is_bot,item,value,unit
00:06:05.200,2026-04-08 15:18:26.024,buy_item,dragon_knight,DIRE,,,,,,tpscroll,,
00:06:08.633,2026-04-08 15:18:29.457,xp_gain,nevermore,RADIANT,,76561198781085397,huy.quoc1205,172.19.142.242,false,,57,xp
00:06:08.700,2026-04-08 15:18:29.524,xp_gain,drow_ranger,DIRE,,76561198306618603,reinvented,172.19.139.77,false,,69,xp
00:06:11.133,2026-04-08 15:18:31.957,gold_gain,primal_beast,DIRE,,76561198405243843,Chubby,172.19.126.193,false,,39,gold
00:06:11.133,2026-04-08 15:18:31.957,xp_gain,primal_beast,DIRE,,76561198405243843,Chubby,172.19.126.193,false,,28,xp
00:06:11.133,2026-04-08 15:18:31.957,xp_gain,dragon_knight,DIRE,,,,,,,28,xp
00:06:16.633,2026-04-08 15:18:37.457,xp_gain,nevermore,RADIANT,,76561198781085397,huy.quoc1205,172.19.142.242,false,,28,xp
00:06:16.966,2026-04-08 15:18:37.790,gold_gain,kunkka,RADIANT,,,,,,,35,gold
00:06:16.966,2026-04-08 15:18:37.790,xp_gain,kunkka,RADIANT,,,,,,,57,xp
00:06:17.166,2026-04-08 15:18:37.990,buy_item,kunkka,RADIANT,,,,,,tpscroll,,
00:06:18.466,2026-04-08 15:18:39.290,xp_gain,crystal_maiden,DIRE,,,,,,,28,xp
00:06:21.433,2026-04-08 15:18:42.257,gold_gain,kunkka,RADIANT,,,,,,,39,gold
00:06:21.433,2026-04-08 15:18:42.257,xp_gain,kunkka,RADIANT,,,,,,,57,xp
00:06:23.133,2026-04-08 15:18:43.957,xp_gain,nevermore,RADIANT,,76561198781085397,huy.quoc1205,172.19.142.242,false,,14,xp
00:06:23.133,2026-04-08 15:18:43.957,xp_gain,bane,RADIANT,,,,,,,14,xp
00:06:23.266,2026-04-08 15:18:44.090,gold_gain,primal_beast,DIRE,,76561198405243843,Chubby,172.19.126.193,false,,39,gold
00:06:23.266,2026-04-08 15:18:44.090,xp_gain,primal_beast,DIRE,,76561198405243843,Chubby,172.19.126.193,false,,28,xp
00:06:23.266,2026-04-08 15:18:44.090,xp_gain,dragon_knight,DIRE,,,,,,,28,xp
00:06:24.533,2026-04-08 15:18:45.357,gold_gain,dragon_knight,DIRE,,,,,,,38,gold
00:06:24.533,2026-04-08 15:18:45.357,xp_gain,dragon_knight,DIRE,,,,,,,28,xp
00:06:24.533,2026-04-08 15:18:45.357,xp_gain,primal_beast,DIRE,,76561198405243843,Chubby,172.19.126.193,false,,28,xp
00:06:25.733,2026-04-08 15:18:46.557,xp_gain,kunkka,RADIANT,,,,,,,34,xp
00:06:29.000,2026-04-08 15:18:49.824,xp_gain,crystal_maiden,DIRE,,,,,,,28,xp
00:06:29.000,2026-04-08 15:18:49.824,xp_gain,vengefulspirit,DIRE,,,,,,,28,xp
00:06:31.666,2026-04-08 15:18:52.490,buy_item,bloodseeker,RADIANT,,,,,,tpscroll,,
00:06:32.000,2026-04-08 15:18:52.824,xp_gain,bane,RADIANT,,,,,,,17,xp
00:06:32.000,2026-04-08 15:18:52.824,xp_gain,nevermore,RADIANT,,76561198781085397,huy.quoc1205,172.19.142.242,false,,17,xp
00:06:34.033,2026-04-08 15:18:54.857,gold_gain,vengefulspirit,DIRE,,,,,,,49,gold
00:06:34.033,2026-04-08 15:18:54.857,xp_gain,vengefulspirit,DIRE,,,,,,,34,xp
00:06:34.033,2026-04-08 15:18:54.857,xp_gain,crystal_maiden,DIRE,,,,,,,34,xp
00:06:34.366,2026-04-08 15:18:55.190,gold_gain,drow_ranger,DIRE,,76561198306618603,reinvented,172.19.139.77,false,,36,gold
00:06:34.366,2026-04-08 15:18:55.190,xp_gain,drow_ranger,DIRE,,76561198306618603,reinvented,172.19.139.77,false,,57,xp
00:06:35.300,2026-04-08 15:18:56.124,xp_gain,drow_ranger,DIRE,,76561198306618603,reinvented,172.19.139.77,false,,57,xp
00:06:36.433,2026-04-08 15:18:57.257,xp_gain,bane,RADIANT,,,,,,,28,xp
00:06:36.433,2026-04-08 15:18:57.257,xp_gain,nevermore,RADIANT,,76561198781085397,huy.quoc1205,172.19.142.242,false,,28,xp
