team,latency_ms,start_time,end_time,duration_sec,status,mode,cycle
A,20,2026-03-27 15:48:36.419,2026-03-27 15:53:36.538,300.0,interrupted,shuffle,1
A,20,2026-03-27 15:57:13.551,2026-03-27 16:02:13.862,300.0,completed,shuffle,1
B,20,2026-03-27 16:02:14.201,2026-03-27 16:07:14.269,300.0,completed,shuffle,1
A,40,2026-03-27 16:07:14.287,2026-03-27 16:12:14.352,300.0,completed,shuffle,1
B,40,2026-03-27 16:12:14.441,2026-03-27 16:17:14.459,300.0,completed,shuffle,1
A,60,2026-03-27 16:17:14.487,2026-03-27 16:22:14.562,300.0,completed,shuffle,1
B,60,2026-03-27 16:22:14.806,2026-03-27 16:27:14.822,300.0,completed,shuffle,1
A,80,2026-03-27 16:27:14.848,2026-03-27 16:31:14.814,300.0,interrupted,shuffle,1
