team,latency_ms,start_time,end_time,duration_sec,status,mode,cycle
A,20,2026-04-07 14:53:39.106,2026-04-07 14:58:39.231,300.0,completed,shuffle,1
B,20,2026-04-07 14:58:39.269,2026-04-07 15:03:39.426,300.0,completed,shuffle,1
A,40,2026-04-07 15:03:39.448,2026-04-07 15:08:39.470,300.0,completed,shuffle,1
B,40,2026-04-07 15:08:39.510,2026-04-07 15:13:39.540,300.0,completed,shuffle,1
A,60,2026-04-07 15:13:39.560,2026-04-07 15:18:39.585,300.0,completed,shuffle,1
B,60,2026-04-07 15:18:39.660,2026-04-07 15:23:39.706,300.0,completed,shuffle,1
A,80,2026-04-07 15:23:39.751,2026-04-07 15:27:37.096,300.0,interrupted,shuffle,1
