timestamp,logger,event_type,server_ip,server_port,team,command,latency_ms,response,message
2026-03-27 15:48:36.419,tcp_client,server_stop_inactive,172.19.123.153,5000,,STOP,,OK latency injector stopped,(172.19.123.153:5000) STOP (inactive team) -> OK latency injector stopped
2026-03-27 15:48:36.811,tcp_client,server_set_latency,172.19.126.210,5000,A,SET_LATENCY,20,OK latency set to 20 ms,(172.19.126.210:5000) [Team A] SET_LATENCY 20 -> OK latency set to 20 ms
2026-03-27 15:48:36.811,tcp_client,server_set_latency,172.19.143.198,5000,A,SET_LATENCY,20,OK latency set to 20 ms,(172.19.143.198:5000) [Team A] SET_LATENCY 20 -> OK latency set to 20 ms
2026-03-27 15:57:13.550,tcp_client,server_stop_inactive,172.19.123.153,5000,,STOP,,OK latency injector stopped,(172.19.123.153:5000) STOP (inactive team) -> OK latency injector stopped
2026-03-27 15:57:13.855,tcp_client,server_set_latency,172.19.126.210,5000,A,SET_LATENCY,20,OK latency set to 20 ms,(172.19.126.210:5000) [Team A] SET_LATENCY 20 -> OK latency set to 20 ms
2026-03-27 15:57:13.858,tcp_client,server_set_latency,172.19.143.198,5000,A,SET_LATENCY,20,OK latency set to 20 ms,(172.19.143.198:5000) [Team A] SET_LATENCY 20 -> OK latency set to 20 ms
2026-03-27 16:02:14.201,tcp_client,server_stop_inactive,172.19.126.210,5000,,STOP,,OK latency injector stopped,(172.19.126.210:5000) STOP (inactive team) -> OK latency injector stopped
2026-03-27 16:02:14.201,tcp_client,server_stop_inactive,172.19.143.198,5000,,STOP,,OK latency injector stopped,(172.19.143.198:5000) STOP (inactive team) -> OK latency injector stopped
2026-03-27 16:02:14.264,tcp_client,server_set_latency,172.19.123.153,5000,B,SET_LATENCY,20,OK latency set to 20 ms,(172.19.123.153:5000) [Team B] SET_LATENCY 20 -> OK latency set to 20 ms
2026-03-27 16:07:14.284,tcp_client,server_stop_inactive,172.19.123.153,5000,,STOP,,OK latency injector stopped,(172.19.123.153:5000) STOP (inactive team) -> OK latency injector stopped
2026-03-27 16:07:14.349,tcp_client,server_set_latency,172.19.126.210,5000,A,SET_LATENCY,40,OK latency set to 40 ms,(172.19.126.210:5000) [Team A] SET_LATENCY 40 -> OK latency set to 40 ms
2026-03-27 16:07:14.349,tcp_client,server_set_latency,172.19.143.198,5000,A,SET_LATENCY,40,OK latency set to 40 ms,(172.19.143.198:5000) [Team A] SET_LATENCY 40 -> OK latency set to 40 ms
2026-03-27 16:12:14.439,tcp_client,server_stop_inactive,172.19.126.210,5000,,STOP,,OK latency injector stopped,(172.19.126.210:5000) STOP (inactive team) -> OK latency injector stopped
2026-03-27 16:12:14.440,tcp_client,server_stop_inactive,172.19.143.198,5000,,STOP,,OK latency injector stopped,(172.19.143.198:5000) STOP (inactive team) -> OK latency injector stopped
2026-03-27 16:12:14.454,tcp_client,server_set_latency,172.19.123.153,5000,B,SET_LATENCY,40,OK latency set to 40 ms,(172.19.123.153:5000) [Team B] SET_LATENCY 40 -> OK latency set to 40 ms
2026-03-27 16:17:14.487,tcp_client,server_stop_inactive,172.19.123.153,5000,,STOP,,OK latency injector stopped,(172.19.123.153:5000) STOP (inactive team) -> OK latency injector stopped
2026-03-27 16:17:14.557,tcp_client,server_set_latency,172.19.126.210,5000,A,SET_LATENCY,60,OK latency set to 60 ms,(172.19.126.210:5000) [Team A] SET_LATENCY 60 -> OK latency set to 60 ms
2026-03-27 16:17:14.557,tcp_client,server_set_latency,172.19.143.198,5000,A,SET_LATENCY,60,OK latency set to 60 ms,(172.19.143.198:5000) [Team A] SET_LATENCY 60 -> OK latency set to 60 ms
2026-03-27 16:22:14.804,tcp_client,server_stop_inactive,172.19.126.210,5000,,STOP,,OK latency injector stopped,(172.19.126.210:5000) STOP (inactive team) -> OK latency injector stopped
2026-03-27 16:22:14.805,tcp_client,server_stop_inactive,172.19.143.198,5000,,STOP,,OK latency injector stopped,(172.19.143.198:5000) STOP (inactive team) -> OK latency injector stopped
2026-03-27 16:22:14.817,tcp_client,server_set_latency,172.19.123.153,5000,B,SET_LATENCY,60,OK latency set to 60 ms,(172.19.123.153:5000) [Team B] SET_LATENCY 60 -> OK latency set to 60 ms
2026-03-27 16:27:14.846,tcp_client,server_stop_inactive,172.19.123.153,5000,,STOP,,OK latency injector stopped,(172.19.123.153:5000) STOP (inactive team) -> OK latency injector stopped
2026-03-27 16:27:14.898,tcp_client,server_set_latency,172.19.126.210,5000,A,SET_LATENCY,80,OK latency set to 80 ms,(172.19.126.210:5000) [Team A] SET_LATENCY 80 -> OK latency set to 80 ms
2026-03-27 16:27:14.899,tcp_client,server_set_latency,172.19.143.198,5000,A,SET_LATENCY,80,OK latency set to 80 ms,(172.19.143.198:5000) [Team A] SET_LATENCY 80 -> OK latency set to 80 ms
